address_full,incorporated_place,major_city,state,lat,lon,block_group,collection_datetime,provider,speed_down,speed_up,speed_unit,price,technology,package,fastest_speed_down,fastest_speed_price,fn,redlining_grade,race_perc_non_white,income_lmi,ppl_per_sq_mile,n_providers,income_dollars_below_median,internet_perc_broadband,median_household_income,income_level,speed_down_bins,race_quantile,is_slow,race_perc,color
"1, 77 Milton Avenue, Boston, MA, 02124",Boston,Boston,MA,42.28353,-71.07672,1,1701822444.639743,Viasat,25,Not specified,Mbps,69.99,Satellite,Choice 25 Mbps/60 GB,50,299.99,../data/intermediary/isp/viastat\boston\49.geojson.gz,C,0.9347826086956522,0.8850821777766128,9168.825991628462,3.0,8768.0,0.6105032822757112,67530.0,,Medium (25-99),least white,0,"[0.9, 0.95)",#a8596d
"Apt 8, 52 Columbia Road, Boston, MA, 02121",Boston,Boston,MA,42.30427,-71.08279,1,1701821811.1043756,Viasat,25,Not specified,Mbps,69.99,Satellite,Choice 25 Mbps/60 GB,50,299.99,../data/intermediary/isp/viastat\boston\5.geojson.gz,C,0.9717969379532636,0.289771684709953,11319.274690794997,2.0,54189.0,0.5451505016722408,22109.0,Low,Medium (25-99),least white,0,"[0.95, 1.0)",#a8596d
"2, 6 Intervale Street, Boston, MA, 02121",Boston,Boston,MA,42.31239,-71.08209,1,1701822456.155978,Viasat,25,Not specified,Mbps,69.99,Satellite,Choice 25 Mbps/60 GB,50,299.99,../data/intermediary/isp/viastat\boston\50.geojson.gz,C,0.9117291414752116,0.8563134027104249,10067.624734461831,2.0,10963.0,0.7521514629948365,65335.0,,Medium (25-99),least white,0,"[0.9, 0.95)",#a8596d
"Ste 400, 112 Water Street, Boston, MA, 02109",Boston,Boston,MA,42.35819,-71.05486,1,1701822466.7946784,Viasat,25,Not specified,Mbps,69.99,Satellite,Choice 25 Mbps/60 GB,50,299.99,../data/intermediary/isp/viastat\boston\51.geojson.gz,,,,,,,,,,Medium (25-99),,0,,#a8596d
", 37 Bailey Street, Boston, MA, 02124",Boston,Boston,MA,42.28374,-71.06828,1,1701822478.691381,Viasat,25,Not specified,Mbps,69.99,Satellite,Choice 25 Mbps/60 GB,50,299.99,../data/intermediary/isp/viastat\boston\52.geojson.gz,C,0.8923745173745173,,14698.162729658792,3.0,,0.7897810218978102,,,Medium (25-99),least white,0,"[0.86, 0.9)",#a8596d
", 53 Vincent Road, Boston, MA, 02132",Boston,Boston,MA,42.29515,-71.14171,1,1701822496.8471656,Viasat,25,Not specified,Mbps,69.99,Satellite,Choice 25 Mbps/60 GB,50,299.99,../data/intermediary/isp/viastat\boston\53.geojson.gz,B,0.237788513150832,1.2737948570080473,1687.561143519693,3.0,-20890.0,0.7469135802469136,97188.0,Upper Income,Medium (25-99),most white,0,"[0.19, 0.24)",#a8596d
", 1 Islington Terrace, Boston, MA, 02134",Boston,Boston,MA,42.352608,-71.137218,1,1701822508.0787325,Viasat,25,Not specified,Mbps,69.99,Satellite,Choice 25 Mbps/60 GB,50,299.99,../data/intermediary/isp/viastat\boston\54.geojson.gz,C,,,,,,,,,Medium (25-99),,0,,#a8596d
"Apt 9, 381 Commonwealth Avenue, Boston, MA, 02215",Boston,Boston,MA,42.34944,-71.08968,1,1701822517.0616436,Viasat,25,Not specified,Mbps,69.99,Satellite,Choice 25 Mbps/60 GB,50,299.99,../data/intermediary/isp/viastat\boston\55.geojson.gz,C,0.3471337579617834,1.4317675430548638,13407.630393475523,3.0,-32943.0,0.9817351598173516,109241.0,Upper Income,Medium (25-99),most white,0,"[0.33, 0.38)",#a8596d
", 249 Hyde Park Avenue, Boston, MA, 02130",Boston,Boston,MA,42.293168,-71.117934,1,1701822528.0300877,Viasat,25,Not specified,Mbps,69.99,Satellite,Choice 25 Mbps/60 GB,50,299.99,../data/intermediary/isp/viastat\boston\56.geojson.gz,C,,,,,,,,,Medium (25-99),,0,,#a8596d
"2, 644 Columbia Road, Boston, MA, 02125",Boston,Boston,MA,42.31862,-71.06384,1,1701822539.126078,Viasat,25,Not specified,Mbps,69.99,Satellite,Choice 25 Mbps/60 GB,50,299.99,../data/intermediary/isp/viastat\boston\57.geojson.gz,C,0.8578754578754578,0.6252064274292904,12966.287652104527,2.0,28596.0,0.779510022271715,47702.0,,Medium (25-99),least white,0,"[0.81, 0.86)",#a8596d
"18, 51 Park Drive, Boston, MA, 02215",Boston,Boston,MA,42.34319,-71.09503,1,1701822551.7700706,Viasat,25,Not specified,Mbps,69.99,Satellite,Choice 25 Mbps/60 GB,50,299.99,../data/intermediary/isp/viastat\boston\58.geojson.gz,C,0.4382097528390113,0.8701276573435739,34508.194831838824,4.0,9909.0,0.9569767441860464,66389.0,,Medium (25-99),integrated,0,"[0.43, 0.48)",#a8596d
", 41 Summer Street, Boston, MA, 02136",Boston,Boston,MA,42.25827,-71.12499,1,1701822563.882202,Viasat,25,Not specified,Mbps,69.99,Satellite,Choice 25 Mbps/60 GB,50,299.99,../data/intermediary/isp/viastat\boston\59.geojson.gz,C,0.6617795753286148,1.1615638679912972,4015.159357980485,3.0,-12327.0,0.8400537634408602,88625.0,,Medium (25-99),least white,0,"[0.62, 0.67)",#a8596d
", 551 Atlantic Avenue, Boston, MA, 02110",Boston,Boston,MA,42.3541127,-71.0535127,1,1701821819.6369095,Viasat,25,Not specified,Mbps,69.99,Satellite,Choice 25 Mbps/60 GB,50,299.99,../data/intermediary/isp/viastat\boston\6.geojson.gz,,,,,,,,,,Medium (25-99),,0,,#a8596d
"3, 15 Ballard Street, Boston, MA, 02130",Boston,Boston,MA,42.3082446,-71.1180643,1,1701822581.5126483,Viasat,25,Not specified,Mbps,69.99,Satellite,Choice 25 Mbps/60 GB,50,299.99,../data/intermediary/isp/viastat\boston\60.geojson.gz,C,0.0410742496050552,1.3810978007287216,5725.242621853604,2.0,-29077.0,0.9652173913043478,105375.0,Upper Income,Medium (25-99),most white,0,"[0.0, 0.05)",#a8596d
"Apt 646, 90 Medford Street, Boston, MA, 02129",Boston,Boston,MA,42.37894,-71.05615,1,1701822593.8460586,Viasat,25,Not specified,Mbps,69.99,Satellite,Choice 25 Mbps/60 GB,50,299.99,../data/intermediary/isp/viastat\boston\61.geojson.gz,D,0.9695067264573992,0.1610658208603108,18691.11878499346,2.0,64009.0,0.6833910034602076,12289.0,Low,Medium (25-99),least white,0,"[0.95, 1.0)",#a8596d
", 96 Bernard Street, Boston, MA, 02124",Boston,Boston,MA,42.29267,-71.07936,1,1701822605.316919,Viasat,25,Not specified,Mbps,69.99,Satellite,Choice 25 Mbps/60 GB,50,299.99,../data/intermediary/isp/viastat\boston\62.geojson.gz,C,1.0,0.7362185116254686,11163.97601206411,3.0,20126.0,0.5869565217391305,56172.0,,Medium (25-99),least white,0,"[1.0, 1.01)",#a8596d
"Apt 1063, 81 Bunker Hill Street, Boston, MA, 02129",Boston,Boston,MA,42.37764,-71.05803,1,1701822617.9089432,Viasat,25,Not specified,Mbps,69.99,Satellite,Choice 25 Mbps/60 GB,50,299.99,../data/intermediary/isp/viastat\boston\63.geojson.gz,D,0.9695067264573992,0.1610658208603108,18691.11878499346,2.0,64009.0,0.6833910034602076,12289.0,Low,Medium (25-99),least white,0,"[0.95, 1.0)",#a8596d
"3, 608 E Sixth Street, Boston, MA, 02127",Boston,Boston,MA,42.33323,-71.03615,1,1701822627.9729052,Viasat,25,Not specified,Mbps,69.99,Satellite,Choice 25 Mbps/60 GB,50,299.99,../data/intermediary/isp/viastat\boston\64.geojson.gz,C,0.1694214876033057,1.7122991428346743,15798.063322815797,2.0,-54347.0,0.8714285714285714,130645.0,Upper Income,Medium (25-99),most white,0,"[0.14, 0.19)",#a8596d
", 8 Winslow Street, Boston, MA, 02119",Boston,Boston,MA,42.3288292,-71.0812581,1,1701822646.6585732,Viasat,25,Not specified,Mbps,69.99,Satellite,Choice 25 Mbps/60 GB,50,299.99,../data/intermediary/isp/viastat\boston\65.geojson.gz,D,0.8520833333333333,0.3574536685103148,4888.050075357438,3.0,49025.0,0.8584615384615385,27273.0,Low,Medium (25-99),least white,0,"[0.81, 0.86)",#a8596d
"Apt 212, 1875 Dorchester Avenue, Boston, MA, 02124",Boston,Boston,MA,42.28703,-71.0642,1,1701822657.9587224,Viasat,25,Not specified,Mbps,69.99,Satellite,Choice 25 Mbps/60 GB,50,299.99,../data/intermediary/isp/viastat\boston\66.geojson.gz,C,0.8688699360341151,,7514.46012849887,2.0,,0.7573099415204678,,,Medium (25-99),least white,0,"[0.86, 0.9)",#a8596d
"21-H, 85 E India Row, Boston, MA, 02110",Boston,Boston,MA,42.35812,-71.0498,1,1701822669.047604,Viasat,25,Not specified,Mbps,69.99,Satellite,Choice 25 Mbps/60 GB,50,299.99,../data/intermediary/isp/viastat\boston\67.geojson.gz,,,,,,,,,,Medium (25-99),,0,,#a8596d
"3, 1150 Bennington Street, Boston, MA, 02128",Boston,Boston,MA,42.38874,-71.00069,1,1701822681.640704,Viasat,25,Not specified,Mbps,69.99,Satellite,Choice 25 Mbps/60 GB,50,299.99,../data/intermediary/isp/viastat\boston\68.geojson.gz,C,0.6846488052136134,1.088180555191486,12518.923426975967,2.0,-6728.0,0.8206106870229007,83026.0,,Medium (25-99),least white,0,"[0.67, 0.71)",#a8596d
