address_full,incorporated_place,major_city,state,lat,lon,block_group,collection_datetime,provider,speed_down,speed_up,speed_unit,price,technology,package,fastest_speed_down,fastest_speed_price,fn,redlining_grade,race_perc_non_white,income_lmi,ppl_per_sq_mile,n_providers,income_dollars_below_median,internet_perc_broadband,median_household_income,income_level,speed_down_bins,race_quantile,is_slow,race_perc,color
"90, Orton Marotta Way, Boston, MA, 02127",Boston,Boston,MA,42.33812,-71.0548,1,1701822720.690181,xfinity,400,10,Mbps,102.0,Cable,Fast,1200,117.0,../data/intermediary/isp/xfinity\boston\71.geojson.gz,D,0.8772241992882562,0.3686204094471677,12627.652762018177,3.0,48173.0,0.871313672922252,28125.0,Low,Blazing (≥200),least white,0,"[0.86, 0.9)",#7b89a1
"101, Gerard Street, Boston, MA, 02119",Boston,Boston,MA,42.3293458,-71.073058,1,1701822739.034099,xfinity,400,10,Mbps,102.0,Cable,Fast,1200,117.0,../data/intermediary/isp/xfinity\boston\72.geojson.gz,D,0.8147029204431017,0.4402998767988676,2121.323466580076,3.0,42704.0,0.7936842105263158,33594.0,Low,Blazing (≥200),least white,0,"[0.81, 0.86)",#7b89a1
"1027, Tremont Street, Boston, MA, 02120",Boston,Boston,MA,42.33681,-71.08534,1,1701822757.4350283,xfinity,400,10,Mbps,102.0,Cable,Fast,1200,117.0,../data/intermediary/isp/xfinity\boston\73.geojson.gz,D,0.5367213114754098,0.3570342604000104,13872.40119893933,3.0,49057.0,0.6502890173410405,27241.0,Low,Blazing (≥200),integrated,0,"[0.52, 0.57)",#7b89a1
"53, Vincent Road, Boston, MA, 02132",Boston,Boston,MA,42.29515,-71.14171,1,1701822492.0081584,xfinity,400,10,Mbps,102.0,Cable,Fast,1200,117.0,../data/intermediary/isp/xfinity\boston\53.geojson.gz,B,0.237788513150832,1.2737948570080473,1687.561143519693,3.0,-20890.0,0.7469135802469136,97188.0,Upper Income,Blazing (≥200),most white,0,"[0.19, 0.24)",#7b89a1
"49, Maverick Square, Boston, MA, 02128",Boston,Boston,MA,42.36963,-71.03869,1,1701822777.974855,xfinity,400,10,Mbps,102.0,Cable,Fast,1200,117.0,../data/intermediary/isp/xfinity\boston\74.geojson.gz,,0.5340659340659341,0.8577026920758081,11769.87945574008,2.0,10857.0,0.8295454545454546,65441.0,,Blazing (≥200),integrated,0,"[0.52, 0.57)",#7b89a1
"375, Columbus Avenue, Boston, MA, 02116",Boston,Boston,MA,42.34524,-71.07633,1,1701822850.4762294,xfinity,400,10,Mbps,102.0,Cable,Fast,2000,130.0,../data/intermediary/isp/xfinity\boston\78.geojson.gz,D,0.5218945487042002,0.9611392172796142,12765.083674610143,3.0,2965.0,0.9057239057239056,73333.0,,Blazing (≥200),integrated,0,"[0.52, 0.57)",#7b89a1
"16, Maplewood Street, Boston, MA, 02132",Boston,Boston,MA,42.27059,-71.14836,1,1701822905.4519372,xfinity,400,10,Mbps,102.0,Cable,Fast,2000,130.0,../data/intermediary/isp/xfinity\boston\82.geojson.gz,C,0.5078125,0.7525492149204436,1931.4939988716187,3.0,18880.0,0.8064516129032258,57418.0,,Blazing (≥200),integrated,0,"[0.48, 0.52)",#7b89a1
"1, Warren Street, Boston, MA, 02129",Boston,Boston,MA,42.371948,-71.059998,1,1701821849.833704,xfinity,400,10,Mbps,102.0,Cable,Fast,1200,117.0,../data/intermediary/isp/xfinity\boston\8.geojson.gz,D,0.0983118172790466,1.99973786993106,7302.922619479295,3.0,-76278.0,0.6923076923076923,152576.0,Upper Income,Blazing (≥200),most white,0,"[0.05, 0.1)",#7b89a1
"37, Wachusett Street, Boston, MA, 02130",Boston,Boston,MA,42.29661,-71.11323,1,1701822941.7649198,xfinity,400,10,Mbps,102.0,Cable,Fast,1200,117.0,../data/intermediary/isp/xfinity\boston\84.geojson.gz,C,,,,,,,,,Blazing (≥200),,0,,#7b89a1
"182, Heath Street, Boston, MA, 02130",Boston,Boston,MA,42.3259237,-71.1049483,1,1701822923.1050704,xfinity,400,10,Mbps,102.0,Cable,Fast,1200,117.0,../data/intermediary/isp/xfinity\boston\83.geojson.gz,D,0.9758666081614744,0.2358646360323992,14903.41228632339,2.0,58302.0,0.6666666666666666,17996.0,Low,Blazing (≥200),least white,0,"[0.95, 1.0)",#7b89a1
"17, Corey Street, Boston, MA, 02129",Boston,Boston,MA,42.37766,-71.05602,1,1701822961.280754,xfinity,400,10,Mbps,102.0,Cable,Fast,2000,130.0,../data/intermediary/isp/xfinity\boston\85.geojson.gz,D,0.8882211538461539,0.3049752287084851,15069.187857712091,2.0,53029.0,0.7867647058823529,23269.0,Low,Blazing (≥200),least white,0,"[0.86, 0.9)",#7b89a1
"6, Clinton Place, Boston, MA, 02129",Boston,Boston,MA,42.38349,-71.07755,1,1701823005.4257343,xfinity,400,10,Mbps,102.0,Cable,Fast,1200,117.0,../data/intermediary/isp/xfinity\boston\88.geojson.gz,,0.2274774774774774,1.712967574510472,1053.0118748433724,3.0,-54398.0,0.949748743718593,130696.0,Upper Income,Blazing (≥200),most white,0,"[0.19, 0.24)",#7b89a1
"38, School Street, Boston, MA, 02135",Boston,Boston,MA,42.3598317,-71.1435714,1,1701823022.5394883,xfinity,400,10,Mbps,102.0,Cable,Fast,1200,117.0,../data/intermediary/isp/xfinity\boston\89.geojson.gz,D,,,,,,,,,Blazing (≥200),,0,,#7b89a1
"1222, Commonwealth Avenue, Boston, MA, 02134",Boston,Boston,MA,42.350728,-71.1309701,1,1701823052.7776473,xfinity,400,10,Mbps,102.0,Cable,Fast,2000,130.0,../data/intermediary/isp/xfinity\boston\91.geojson.gz,C,0.6225769669327252,0.5363312275551129,12020.944130708922,4.0,35377.0,1.0,40921.0,,Blazing (≥200),least white,0,"[0.62, 0.67)",#7b89a1
"65, E India Row, Boston, MA, 02110",Boston,Boston,MA,42.35767,-71.0505,1,1701821888.3568268,xfinity,400,10,Mbps,102.0,Cable,Fast,1200,117.0,../data/intermediary/isp/xfinity\boston\11.geojson.gz,,,,,,,,,,Blazing (≥200),,0,,#7b89a1
"16, Roach Street, Boston, MA, 02125",Boston,Boston,MA,42.3106,-71.05871,1,1701823071.711925,xfinity,400,10,Mbps,102.0,Cable,Fast,1200,117.0,../data/intermediary/isp/xfinity\boston\92.geojson.gz,D,0.8310880829015544,,9958.206490893142,2.0,,0.9773869346733668,,,Blazing (≥200),least white,0,"[0.81, 0.86)",#7b89a1
"61, Freeland Street, Boston, MA, 02126",Boston,Boston,MA,42.27572,-71.07933,1,1701823138.4149954,xfinity,400,10,Mbps,102.0,Cable,Fast,1200,117.0,../data/intermediary/isp/xfinity\boston\98.geojson.gz,C,0.924812030075188,0.2550525570788225,6205.416390179164,3.0,56838.0,0.7651331719128329,19460.0,Low,Blazing (≥200),least white,0,"[0.9, 0.95)",#7b89a1
"84, Gardner Street, Boston, MA, 02134",Boston,Boston,MA,42.35377,-71.12624,1,1701823154.2318394,xfinity,400,10,Mbps,102.0,Cable,Fast,2000,130.0,../data/intermediary/isp/xfinity\boston\99.geojson.gz,C,,,,,,,,,Blazing (≥200),,0,,#7b89a1
"388, Marlborough Street, Boston, MA, 02115",Boston,Boston,MA,42.3502,-71.08768,2,1701823428.121379,xfinity,400,10,Mbps,102.0,Cable,Fast,1200,117.0,../data/intermediary/isp/xfinity\boston\126.geojson.gz,C,0.2432432432432432,1.9958452384072976,23006.47004453407,3.0,-75981.0,0.952063914780293,152279.0,Upper Income,Blazing (≥200),most white,0,"[0.24, 0.29)",#7b89a1
"66, Bolton Street, Boston, MA, 02127",Boston,Boston,MA,42.34161,-71.05215,1,1701823170.7343087,xfinity,400,10,Mbps,102.0,Cable,Fast,1200,117.0,../data/intermediary/isp/xfinity\boston\100.geojson.gz,D,,,,,,,,,Blazing (≥200),,0,,#7b89a1
"83, W Brookline Street, Boston, MA, 02118",Boston,Boston,MA,42.34072,-71.07361,2,1701823186.4414656,xfinity,400,10,Mbps,102.0,Cable,Fast,1200,117.0,../data/intermediary/isp/xfinity\boston\101.geojson.gz,D,,,,,,,,,Blazing (≥200),,0,,#7b89a1
"228, Garfield Avenue, Boston, MA, 02136",Boston,Boston,MA,42.2430167,-71.1200564,2,1701823230.15402,xfinity,400,10,Mbps,102.0,Cable,Fast,2000,130.0,../data/intermediary/isp/xfinity\boston\105.geojson.gz,C,0.8988372093023256,0.6958504810086765,6481.9071881335885,3.0,23206.0,0.8929712460063898,53092.0,,Blazing (≥200),least white,0,"[0.86, 0.9)",#7b89a1
"143, Mount Pleasant Avenue, Boston, MA, 02119",Boston,Boston,MA,42.32506,-71.07559,2,1701823412.1740413,xfinity,400,10,Mbps,102.0,Cable,Fast,1200,117.0,../data/intermediary/isp/xfinity\boston\125.geojson.gz,D,0.9528178243774574,0.3853049883352119,8435.040240558947,2.0,46900.0,0.8260869565217391,29398.0,Low,Blazing (≥200),least white,0,"[0.95, 1.0)",#7b89a1
"16, Atherton Avenue, Boston, MA, 02131",Boston,Boston,MA,42.283694,-71.130033,2,1701823649.9546742,xfinity,400,10,Mbps,102.0,Cable,Fast,2000,130.0,../data/intermediary/isp/xfinity\boston\149.geojson.gz,C,0.5192118226600986,1.011284699467876,6497.20588141159,3.0,-861.0,0.6900878293601004,77159.0,,Blazing (≥200),integrated,0,"[0.48, 0.52)",#7b89a1
"4, Emerald Court, Boston, MA, 02118",Boston,Boston,MA,42.34547,-71.06733,2,1701823391.462214,xfinity,400,10,Mbps,102.0,Cable,Fast,1200,117.0,../data/intermediary/isp/xfinity\boston\123.geojson.gz,D,,,,,,,,,Blazing (≥200),,0,,#7b89a1
"480, Harrison Avenue, Boston, MA, 02118",Boston,Boston,MA,42.3422077,-71.0657398,2,1701823619.8156557,xfinity,400,10,Mbps,102.0,Cable,Fast,1200,117.0,../data/intermediary/isp/xfinity\boston\146.geojson.gz,,0.9276073619631902,0.1879734724370232,13780.392952554868,2.0,61956.0,0.7191011235955056,14342.0,Low,Blazing (≥200),least white,0,"[0.9, 0.95)",#7b89a1
"18, Landing Street, Boston, MA, 02128",Boston,Boston,MA,42.3711773,-71.0421934,2,1701823335.203899,xfinity,400,10,Mbps,102.0,Cable,Fast,2000,130.0,../data/intermediary/isp/xfinity\boston\117.geojson.gz,D,0.6765564202334631,0.206519174814543,16437.348598108427,3.0,60541.0,0.6540084388185654,15757.0,Low,Blazing (≥200),least white,0,"[0.67, 0.71)",#7b89a1
"118, Marginal Street, Boston, MA, 02128",Boston,Boston,MA,42.3658967,-71.0368368,2,1701823448.828128,xfinity,400,10,Mbps,102.0,Cable,Fast,1200,117.0,../data/intermediary/isp/xfinity\boston\128.geojson.gz,,0.5691634773100055,0.899250308002831,19598.598416253222,2.0,7687.0,0.8149509803921569,68611.0,,Blazing (≥200),integrated,0,"[0.52, 0.57)",#7b89a1
"53, Cedar Grove Street, Boston, MA, 02124",Boston,Boston,MA,42.28107,-71.04969,2,1701823504.690946,xfinity,400,10,Mbps,102.0,Cable,Fast,1200,117.0,../data/intermediary/isp/xfinity\boston\133.geojson.gz,C,0.1847246891651865,0.4101418123672966,1867.5684954795224,3.0,45005.0,0.7681992337164751,31293.0,Low,Blazing (≥200),most white,0,"[0.14, 0.19)",#7b89a1
"1203, Boylston Street, Boston, MA, 02215",Boston,Boston,MA,42.345904,-71.094523,2,1701823215.0942802,xfinity,400,10,Mbps,102.0,Cable,Fast,2000,130.0,../data/intermediary/isp/xfinity\boston\104.geojson.gz,C,,,,,,,,,Blazing (≥200),,0,,#7b89a1
"91, Westland Avenue, Boston, MA, 02115",Boston,Boston,MA,42.34415,-71.08957,1,1701821945.7090762,xfinity,400,10,Mbps,102.0,Cable,Fast,2000,130.0,../data/intermediary/isp/xfinity\boston\15.geojson.gz,C,0.6726973684210527,0.3015544313088154,32925.37636737788,4.0,53290.0,0.7870967741935484,23008.0,Low,Blazing (≥200),least white,0,"[0.67, 0.71)",#7b89a1
"8, Ellingwood Street, Boston, MA, 02120",Boston,Boston,MA,42.3282177,-71.1083402,2,1701823698.8339512,xfinity,400,10,Mbps,102.0,Cable,Fast,2000,130.0,../data/intermediary/isp/xfinity\boston\154.geojson.gz,D,,,,,,,,,Blazing (≥200),,0,,#7b89a1
"89, Russell Street, Boston, MA, 02129",Boston,Boston,MA,42.380474,-71.067636,2,1701823485.1671689,xfinity,400,10,Mbps,102.0,Cable,Fast,1200,117.0,../data/intermediary/isp/xfinity\boston\131.geojson.gz,D,0.0712554532234609,2.0773807963511493,12014.722840203603,2.0,-82202.0,0.9564732142857144,158500.0,Upper Income,Blazing (≥200),most white,0,"[0.05, 0.1)",#7b89a1
"189, Beacon Street, Boston, MA, 02116",Boston,Boston,MA,42.35415,-71.07626,2,1701823545.8214066,xfinity,400,10,Mbps,102.0,Cable,Fast,2000,130.0,../data/intermediary/isp/xfinity\boston\138.geojson.gz,B,0.0916299559471365,1.5523080552570183,25153.46940584624,2.0,-42140.0,0.9211746522411128,118438.0,Upper Income,Blazing (≥200),most white,0,"[0.05, 0.1)",#7b89a1
